hour,price_eur_kwh,baseline_kw,fixed_kw,baseline_flexible_kw,max_flexible_kw
0,0.1,10.0,10.0,0.0,0.0
1,0.1,10.0,10.0,0.0,0.0
2,0.1,10.0,10.0,0.0,0.0
3,0.1001,10.0,10.0,0.0,0.0
4,0.1012,10.0,10.0,0.0,0.0
5,0.1069,10.0,10.0,0.0,0.0
6,0.1239,10.0,10.0,0.0,0.0
7,0.1506,30.0,19.5,10.5,18.0
8,0.165,30.0,19.5,10.5,18.0
9,0.1506,30.0,19.5,10.5,18.0
10,0.124,30.0,19.5,10.5,18.0
11,0.1073,30.0,19.5,10.5,18.0
12,0.1032,30.0,19.5,10.5,18.0
13,0.107,30.0,19.5,10.5,18.0
14,0.1186,30.0,19.5,10.5,18.0
15,0.1405,30.0,19.5,10.5,18.0
16,0.1705,30.0,19.5,10.5,18.0
17,0.1984,30.0,19.5,10.5,18.0
18,0.21,30.0,19.5,10.5,18.0
19,0.1984,10.0,10.0,0.0,0.0
20,0.1705,10.0,10.0,0.0,0.0
21,0.1405,10.0,10.0,0.0,0.0
22,0.1186,10.0,10.0,0.0,0.0
23,0.1068,10.0,10.0,0.0,0.0
