hour,price_eur_kwh,baseline_kw,fixed_kw,baseline_flexible_kw,max_flexible_kw,optimized_flexible_kw,optimized_kw,baseline_cost_eur,optimized_cost_eur
0,0.1,10.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0
1,0.1,10.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0
2,0.1,10.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0
3,0.1001,10.0,10.0,0.0,0.0,0.0,10.0,1.001,1.001
4,0.1012,10.0,10.0,0.0,0.0,0.0,10.0,1.012,1.012
5,0.1069,10.0,10.0,0.0,0.0,0.0,10.0,1.069,1.069
6,0.1239,10.0,10.0,0.0,0.0,0.0,10.0,1.239,1.239
7,0.1506,30.0,19.5,10.5,18.0,0.0,19.5,4.518,2.9367
8,0.165,30.0,19.5,10.5,18.0,0.0,19.5,4.95,3.2175
9,0.1506,30.0,19.5,10.5,18.0,18.0,37.5,4.518,5.6475
10,0.124,30.0,19.5,10.5,18.0,18.0,37.5,3.72,4.65
11,0.1073,30.0,19.5,10.5,18.0,18.0,37.5,3.219,4.02375
12,0.1032,30.0,19.5,10.5,18.0,18.0,37.5,3.096,3.87
13,0.107,30.0,19.5,10.5,18.0,18.0,37.5,3.21,4.0125
14,0.1186,30.0,19.5,10.5,18.0,18.0,37.5,3.558,4.4475
15,0.1405,30.0,19.5,10.5,18.0,18.0,37.5,4.215,5.26875
16,0.1705,30.0,19.5,10.5,18.0,0.0,19.5,5.115,3.32475
17,0.1984,30.0,19.5,10.5,18.0,0.0,19.5,5.952,3.8688
18,0.21,30.0,19.5,10.5,18.0,0.0,19.5,6.3,4.095
19,0.1984,10.0,10.0,0.0,0.0,0.0,10.0,1.984,1.984
20,0.1705,10.0,10.0,0.0,0.0,0.0,10.0,1.705,1.705
21,0.1405,10.0,10.0,0.0,0.0,0.0,10.0,1.405,1.405
22,0.1186,10.0,10.0,0.0,0.0,0.0,10.0,1.186,1.186
23,0.1068,10.0,10.0,0.0,0.0,0.0,10.0,1.068,1.068
